MSOA Code,MSOA Name,Total population,Local Authority English Name,Proportion of Population in 10% Most Deprived LSOAs,Proportion of Population in 20% Most Deprived LSOAs,Proportion of Population in 30% Most Deprived LSOAs,Proportion of Population in 40% Most Deprived LSOAs,Proportion of Population in 50% Most Deprived LSOAs,Proportion of Population in 60% Most Deprived LSOAs,Proportion of Population in 70% Most Deprived LSOAs,Proportion of Population in 80% Most Deprived LSOAs,Proportion of Population in 90% Most Deprived LSOAs,WIMD 2019 rank,MSOA HoCL English Name,MSOA HoCl Welsh Name
W02000183,Swansea 016,10161,Swansea,0.17891939769707707,0.8600531443755536,1,1,1,1,1,1,1,380,Landore,Glandŵr
W02000403,Cardiff 037,7485,Cardiff,0.4362057448229793,0.4362057448229793,1,1,1,1,1,1,1,379,Tremorfa & Pengam,Tremorfa a Phengam
W02000291,Caerphilly 002,7354,Caerphilly,0.3825129181397879,0.5906989393527332,0.5906989393527332,0.8154745716616807,1,1,1,1,1,378,New Tredegar & Darren Valley,Tredegar Newydd a Chwm Darren
W02000258,Rhondda Cynon Taf 007,5813,Rhondda Cynon Taf,0.23206605883364873,0.733700326853604,1,1,1,1,1,1,1,377,Treherbert,Treherbert
W02000271,Rhondda Cynon Taf 020,5730,Rhondda Cynon Taf,0.48080279232111695,0.48080279232111695,0.743804537521815,0.743804537521815,1,1,1,1,1,376,Porth West,Gorllewin Porth
W02000331,Torfaen 009,6696,Torfaen,0.18130227001194743,0.7843488649940262,1,1,1,1,1,1,1,375,West Pontnewydd & Thornhill,Gorllewin Pontnewydd a Thornhill
W02000252,Rhondda Cynon Taf 001,9275,Rhondda Cynon Taf,0.4677088948787062,0.4677088948787062,0.4677088948787062,0.8075471698113208,0.8075471698113208,1,1,1,1,374,Hirwaun & Rhigos,Hirwaun a'r Rhigos
W02000361,Newport 015,11507,Newport,0.4562440253758582,0.4562440253758582,0.5655687842183019,1,1,1,1,1,1,373,Liswerry & Uskmouth,Llyswyry ac Uskmouth
W02000033,Conwy 007,6201,Conwy,0.2181906144170295,0.5207224641186905,0.7706821480406386,0.7706821480406386,0.7706821480406386,0.7706821480406386,0.7706821480406386,0.7706821480406386,1,372,Colwyn Bay North,Gogledd Bae Colwyn
W02000365,Newport 019,8115,Newport,0.4246457178065311,0.4246457178065311,0.4246457178065311,1,1,1,1,1,1,371,Duffryn & Maesglas,Dyffryn a Maesglas
W02000322,Blaenau Gwent 009,7058,Blaenau Gwent,0,0.8017852082742987,0.8017852082742987,1,1,1,1,1,1,370,Abertillery South & Llanhilleth,De Abertyleri a Llanhiledd
W02000180,Swansea 013,8478,Swansea,0.4017456947393253,0.6019108280254777,0.6019108280254777,1,1,1,1,1,1,369,Ravenhill,Ravenhill
W02000373,Cardiff 007,6836,Cardiff,0.4944411936805149,0.4944411936805149,0.4944411936805149,0.7428320655354008,0.7428320655354008,0.7428320655354008,1,1,1,368,Llanrumney North,Gogledd Llanrhymni
W02000412,Cardiff 046,6970,Cardiff,0.27116212338593976,0.5381635581061693,0.5381635581061693,0.7767575322812051,1,1,1,1,1,367,Grangetown South,De Grangetown
W02000265,Rhondda Cynon Taf 014,9174,Rhondda Cynon Taf,0.4158491388707216,0.4158491388707216,0.6793110965772836,1,1,1,1,1,1,366,Ystrad & Llwynypia,Ystrad a Llwynypia
W02000292,Caerphilly 003,6110,Caerphilly,0.36824877250409166,0.6592471358428805,1,1,1,1,1,1,1,365,Aberbargoed & Gilfach,Aberbargoed a Gilfach
W02000293,Caerphilly 004,6134,Caerphilly,0.23671340071731334,0.23671340071731334,0.7536680795565699,1,1,1,1,1,1,364,Bargoed,Bargoed
W02000410,Cardiff 044,8940,Cardiff,0,0.7995525727069351,1,1,1,1,1,1,1,363,Grangetown North,Gogledd Grangetown
W02000243,The Vale of Glamorgan 007,9864,Vale of Glamorgan,0.3410381184103812,0.6563260340632603,0.6563260340632603,0.6563260340632603,1,1,1,1,1,362,Gibbonsdown,Gibbonsdown
W02000360,Newport 014,6553,Newport,0.3299252250877461,0.594994658934839,0.798870746223104,0.798870746223104,1,1,1,1,1,361,Stow Hill,Stow Hill
W02000409,Cardiff 043,6074,Cardiff,0.5459334869937438,0.5459334869937438,0.5459334869937438,0.5459334869937438,0.5459334869937438,0.5459334869937438,0.5459334869937438,0.7813631873559433,1,360,Ely West,Gorllewin Trelái
